previous_sub_count,last_updated,average_per_second,average_per_minute,average_per_day
"757000","2024-05-25T12:42:50.906Z","0","0","0"
"758000","2024-05-25T12:43:55.422Z","15.625","937.5","1350000"
"759000","2024-05-25T12:45:03.287Z","14.925373134328359","895.5223880597015","1289552.2388059702"
"760000","2024-05-25T12:46:07.030Z","15.873015873015873","952.3809523809524","1371428.5714285714"
"761000","2024-05-25T12:47:13.766Z","15.151515151515152","909.0909090909091","1309090.9090909092"
"762000","2024-05-25T12:48:18.014Z","15.625","937.5","1350000"
"763000","2024-05-25T12:49:31.834Z","13.698630136986301","821.917808219178","1183561.6438356163"
"764000","2024-05-25T12:50:36.564Z","15.625","937.5","1350000"
"765000","2024-05-25T12:51:44.083Z","14.925373134328359","895.5223880597015","1289552.2388059702"
"766000","2024-05-25T12:52:53.237Z","14.492753623188406","869.5652173913044","1252173.9130434783"
"767000","2024-05-25T12:54:00.951Z","14.925373134328359","895.5223880597015","1289552.2388059702"
"768000","2024-05-25T12:55:08.989Z","14.705882352941176","882.3529411764705","1270588.2352941176"
"769000","2024-05-25T12:56:13.065Z","15.625","937.5","1350000"
"770000","2024-05-25T12:57:23.092Z","14.285714285714286","857.1428571428572","1234285.7142857143"
"771000","2024-05-25T12:58:33.737Z","14.285714285714286","857.1428571428572","1234285.7142857143"
"772000","2024-05-25T12:59:45.103Z","14.084507042253522","845.0704225352113","1216901.4084507043"
"773000","2024-05-25T13:00:55.156Z","14.285714285714286","857.1428571428572","1234285.7142857143"
"774000","2024-05-25T13:02:15.084Z","12.658227848101266","759.493670886076","1093670.8860759493"
"775000","2024-05-25T13:03:39.199Z","11.904761904761905","714.2857142857143","1028571.4285714286"
"776000","2024-05-25T13:05:01.355Z","12.195121951219512","731.7073170731708","1053658.536585366"
"777000","2024-05-25T13:06:23.076Z","12.345679012345679","740.7407407407408","1066666.6666666667"
"778000","2024-05-25T13:07:38.896Z","13.333333333333334","800","1152000"
"779000","2024-05-25T13:08:55.001Z","13.157894736842104","789.4736842105262","1136842.1052631577"
"780000","2024-05-25T13:10:10.432Z","13.333333333333334","800","1152000"
"781000","2024-05-25T13:11:32.754Z","12.195121951219512","731.7073170731708","1053658.536585366"
"782000","2024-05-25T13:12:48.602Z","13.333333333333334","800","1152000"
"783000","2024-05-25T13:14:09.965Z","12.345679012345679","740.7407407407408","1066666.6666666667"
"784000","2024-05-25T13:15:30.486Z","12.5","750","1080000"
"785000","2024-05-25T13:16:45.632Z","13.333333333333334","800","1152000"
"786000","2024-05-25T13:18:07.248Z","12.345679012345679","740.7407407407408","1066666.6666666667"
"787000","2024-05-25T13:19:22.306Z","13.333333333333334","800","1152000"
"788000","2024-05-25T13:20:41.702Z","12.658227848101266","759.493670886076","1093670.8860759493"
"789000","2024-05-25T13:22:11.543Z","11.235955056179776","674.1573033707866","970786.5168539326"
"790000","2024-05-25T13:23:34.963Z","12.048192771084338","722.8915662650603","1040963.8554216868"
"791000","2024-05-25T13:24:56.219Z","12.345679012345679","740.7407407407408","1066666.6666666667"
"792000","2024-05-25T13:26:17.631Z","12.345679012345679","740.7407407407408","1066666.6666666667"
"793000","2024-05-25T13:27:47.240Z","11.235955056179776","674.1573033707866","970786.5168539326"
"794000","2024-05-25T13:29:47.880Z","8.333333333333334","500.00000000000006","720000"
"795000","2024-05-25T13:30:42.687Z","18.51851851851852","1111.111111111111","1600000"
"796000","2024-05-25T13:32:14.819Z","10.869565217391305","652.1739130434783","939130.4347826088"
"797000","2024-05-25T13:33:42.624Z","11.494252873563218","689.655172413793","993103.448275862"
"798000","2024-05-25T13:35:17.580Z","10.638297872340425","638.2978723404256","919148.9361702127"
"799000","2024-05-25T13:36:51.678Z","10.638297872340425","638.2978723404256","919148.9361702127"
"800000","2024-05-25T13:38:23.482Z","10.989010989010989","659.3406593406594","949450.5494505494"
"801000","2024-05-25T13:40:01.637Z","10.204081632653061","612.2448979591836","881632.6530612245"
"802000","2024-05-25T13:41:43.292Z","9.900990099009901","594.059405940594","855445.5445544554"
"803000","2024-05-25T13:43:21.960Z","10.204081632653061","612.2448979591836","881632.6530612245"
"804000","2024-05-25T13:45:04.206Z","9.803921568627452","588.2352941176471","847058.8235294118"
"805000","2024-05-25T13:46:36.189Z","10.989010989010989","659.3406593406594","949450.5494505494"
"806000","2024-05-25T13:48:22.988Z","9.433962264150944","566.0377358490566","815094.3396226416"
"807000","2024-05-25T13:50:07.099Z","9.615384615384615","576.9230769230769","830769.2307692308"
"808000","2024-05-25T13:51:47.301Z","10","600","864000"
"809000","2024-05-25T13:53:27.164Z","10.1010101010101","606.060606060606","872727.2727272727"
"810000","2024-05-25T13:55:17.073Z","9.174311926605505","550.4587155963303","792660.5504587156"
"811000","2024-05-25T13:57:02.092Z","9.523809523809524","571.4285714285714","822857.1428571428"
"812000","2024-05-25T13:58:49.974Z","9.345794392523365","560.7476635514018","807476.6355140187"
"813000","2024-05-25T14:00:39.461Z","9.174311926605505","550.4587155963303","792660.5504587156"
"814000","2024-05-25T14:02:20.127Z","10","600","864000"
"815000","2024-05-25T14:04:04.542Z","9.615384615384615","576.9230769230769","830769.2307692308"
"816000","2024-05-25T14:05:46.269Z","9.900990099009901","594.059405940594","855445.5445544554"
"817000","2024-05-25T14:07:34.949Z","9.25925925925926","555.5555555555555","800000"
"818000","2024-05-25T14:09:27.063Z","8.928571428571429","535.7142857142858","771428.5714285715"
"819000","2024-05-25T14:11:20.831Z","8.849557522123893","530.9734513274336","764601.7699115044"
